Name,Phone,Email,Address,Latitude,Longitude,Gender,DOB,Helps
Christine Hill,515.157.0579x4112,fstevens@yahoo.com,"5066 Jefferson Station Suite 761, Gainesville, FL",29.64342,-82.348544,Male,1966-12-19,Hazard Map;Communication;Resource Sharing;Documentation
Gina Campos,077.947.0361x78469,dbuck@gmail.com,"13071 Martha Islands, Gainesville, FL",29.634384,-82.353719,Female,1989-01-09,School;Communication;Follow-up;Trauma Support
Juan Ryan,(043)0952832x7590,teresa21@yahoo.com,"2076 Nelson Manor Suite 827, Gainesville, FL",29.63177,-82.383844,Female,1949-11-19,Information;Sandbags;Transport;Triage;Vaccination;Waste Removal
Laura Riggs,(215)2546649x37379,kingemily@robertson-hawkins.com,"29611 Stafford Court, Gainesville, FL",29.676759,-82.352806,Male,1962-08-08,Equipment;Hygiene;Construction
Desiree Nguyen,4034629222,tjackson@yahoo.com,"902 Lopez Drive, Gainesville, FL",29.630424,-82.316522,Male,1962-05-19,Rebuild;Sandbags;Triage;First Aid;Resource Sharing;Vaccination;Cash Aid
Robert Andrews,0010633148615x835,mason39@dunlap.com,"1201 Edwards Haven, Gainesville, FL",29.63658,-82.323755,Male,1965-02-06,Housing;Childcare;Transport
Cody Bennett,389.438.9911x04974,brenda14@gmail.com,"119 Katelyn Greens, Gainesville, FL",29.622161,-82.352123,Female,1962-02-20,Clearance;Construction;Financial;Relocation;Hygiene;Collection
James Schmidt,0010081523693x7575,gsutton@stewart.org,"0618 Cole Avenue Apt. 550, Gainesville, FL",29.662281,-82.393451,Male,2000-10-03,Relief;Helpline;Babysitting;Financial
Andrew Taylor,075.584.1103x0356,juliebaker@stewart.com,"1954 Greg Shore, Gainesville, FL",29.635333,-82.308917,Other,1979-09-22,Waste Removal;Clean-up;First Aid;Training;Damage Reports;Cash Aid
Isaac Morales,(162)1472275,daniellemorse@hotmail.com,"08953 Herrera Forges, Gainesville, FL",29.657497,-82.36174,Female,1950-05-01,Equipment;Childcare;Waste Removal;Clothing;Needs Assessment
Alexis Lin,655.396.7881x7015,simpsonjohn@anderson.com,"0362 William Tunnel, Gainesville, FL",29.621929,-82.363208,Other,1991-02-25,Information;Coordination;Power Supply;Clean-up;Assessment
James Stone,2565175454,lynchamanda@ibarra.org,"353 Denise Brook Apt. 278, Gainesville, FL",29.662537,-82.317258,Female,1951-12-12,Recovery;Documentation;Job Aid
Cynthia George,(904)2627254x52721,kent59@sanchez.com,"019 Avila Meadows Suite 086, Gainesville, FL",29.634204,-82.33094,Male,1964-09-18,Insurance;Emergency Kits;Medication;Counseling;Follow-up
Amber Cooper,+12929576117x150,jacob04@hubbard-miller.biz,"94396 Webb Trail Apt. 114, Gainesville, FL",29.633177,-82.394663,Female,1988-02-15,Translation;Coordination;School
Lee Rodriguez,0017063426822x10262,claytonlisa@nichols.org,"27004 Rachel Islands, Gainesville, FL",29.621937,-82.332588,Male,1965-10-03,Housing;Contacts;Sandbags;Medication;Recovery
Rachel Fox PhD,0079821533x4442,moorejoshua@hotmail.com,"998 Tammy View Suite 304, Gainesville, FL",29.675518,-82.386653,Male,1977-08-21,Temporary Shelter;Language Help;Clean-up;Medication
Timothy Snyder,146.384.9620x21786,fharris@yahoo.com,"455 Lisa Pass, Gainesville, FL",29.653528,-82.36919,Other,1979-09-25,Food Packs;Psych Support;Needs Assessment
Gerald Le,(873)7468805x271,twhitehead@jones.com,"2985 Robert Wall Suite 534, Gainesville, FL",29.623642,-82.332902,Male,1955-04-15,Legal;Construction;Security;Recruitment
Lisa Bennett,157.171.9133x98649,michael36@hotmail.com,"215 Wu Court, Gainesville, FL",29.63763,-82.395087,Male,1997-08-25,Shelter;Communication;Rebuild;Housing;Drills;Rescue;Relocation
Edward Thomas,360.091.4051x967,laurenaguilar@hill.com,"689 Michael Dam Apt. 408, Gainesville, FL",29.627107,-82.331556,Other,1962-10-14,Sandbags;Sanitation;Assessment
Gina Cochran,0017156433630x8037,michellekramer@hotmail.com,"73872 Andrew Ville Suite 561, Gainesville, FL",29.64897,-82.341897,Male,1991-04-05,Rescue;Remapping;Drills;Lost & Found;Babysitting;Psych Support;Shelter
Desiree Diaz,(673)1968505x8691,zblake@craig.org,"5043 Susan Keys, Gainesville, FL",29.669009,-82.339021,Male,1986-04-13,Support;Trauma Support;Training;Psych Support
Nicholas Wong,0014333810673x52816,vasquezpamela@hall.info,"98206 Oconnell Ridge Suite 148, Gainesville, FL",29.676203,-82.39419,Male,1996-07-15,Financial Aid;Crowd Control;Collection
Daniel Hernandez,0014101947085x282,jeremyhiggins@moore.com,"539 Lawrence Shore Apt. 278, Gainesville, FL",29.654433,-82.370743,Male,1958-05-30,Sandbags;Medical;Financial;Health Kits;Hazard Map;Helpline;Alerts
Matthew Duncan,(695)8830300x135,jonathanmoore@yahoo.com,"31462 Hernandez Inlet Apt. 674, Gainesville, FL",29.638593,-82.393514,Other,1966-07-15,Sandbags;Health Kits;Evacuation;Counseling;Housing;Waste Removal
Valerie Harrison,015.453.3377x121,jamie32@yahoo.com,"924 Thomas Mill, Gainesville, FL",29.65609,-82.333547,Other,1976-08-10,Trauma Support;Transport;Psych Support
Jennifer Jones,5364262816x885,jessicawhite@acevedo-barr.biz,"4160 Barron Park Apt. 466, Gainesville, FL",29.648105,-82.378511,Female,1962-06-10,Hygiene;Water;Coordination;Construction;Financial Aid
William Franco,1017751095x61087,annaporter@yahoo.com,"9068 Martin Inlet, Gainesville, FL",29.636999,-82.306638,Male,1984-04-22,Trauma Support;Crowd Control;Water;Equipment
Melissa Vaughn DVM,4605531746,moorekelly@torres.com,"5752 Jennifer Ridges Suite 415, Gainesville, FL",29.624949,-82.315642,Female,1981-02-04,Language Help;Clean-up;Pet Care;Waste Removal;Cash Aid;Medication
Micheal Moore,0017121713777x8496,smithlarry@hotmail.com,"59738 Shaffer Island Suite 738, Gainesville, FL",29.650407,-82.355789,Male,1956-09-19,Equipment;Contacts;Emergency Kits;Power Supply
Nicholas Osborn,(402)7044863x60117,gthompson@yahoo.com,"959 Hernandez Roads, Gainesville, FL",29.66081,-82.308237,Other,1962-03-12,Contacts;Pet Care;Rebuild
Matthew Smith,0010373787412x6027,lnichols@gmail.com,"102 Chavez Rapids, Gainesville, FL",29.639906,-82.340794,Female,1987-03-13,Supplies;Construction;Counseling;Financial Aid;Waste Removal;Communication
Aaron Kim,+16299797127,ufox@hansen-west.com,"3987 Carrie Canyon Suite 695, Gainesville, FL",29.635295,-82.309244,Male,1997-04-18,Recovery;Training;Information;Hazard Map;Cash Aid;Support
Susan Waller,(559)7364994x80875,james90@allen.com,"174 Yang Port, Gainesville, FL",29.648469,-82.373416,Male,1993-01-26,Evacuation;Relief;Temporary Schools
Stephen Clark,+12629333794x78450,robincross@yahoo.com,"2383 Gonzalez Roads Suite 784, Gainesville, FL",29.671953,-82.31885,Other,1950-06-09,First Aid;Training;Recovery;Medical Camps;Medical
Diana Bird,7150419423x561,rcochran@hanson-good.com,"3384 Smith Causeway, Gainesville, FL",29.667666,-82.340078,Female,1950-03-16,Toolkits;Lost & Found;Food Packs;Job Aid
Austin Maxwell,455.472.7492x740,david32@gross.com,"138 Abigail Rue, Gainesville, FL",29.676615,-82.303521,Other,1988-12-05,Coordination;Helpline;Mental Health;Information;Sanitation;Debris Removal;Toolkits
Richard Howell,0011271772892x184,rebekah29@gmail.com,"84758 Mcguire Ridge Suite 599, Gainesville, FL",29.653392,-82.381936,Other,1965-03-01,Security;Damage Reports;Power Supply;Drills
Lisa Garrett,466.202.7017x57350,elliottmichelle@gmail.com,"86201 Smith Port, Gainesville, FL",29.650589,-82.357515,Male,1950-04-23,Supplies;Helpline;Life Skills;Collection;Waste Removal;Temporary Shelter;Clean-up
Jonathan Miller,123.272.7538,rebecca93@sharp.biz,"750 Burns Brook, Gainesville, FL",29.644187,-82.386521,Other,1983-12-02,Training;Legal;Crowd Control;Transport
Gloria Huerta,6841243286x1705,arichmond@king-rivera.biz,"9907 Jacobs Mission, Gainesville, FL",29.627869,-82.379436,Male,1967-01-01,Babysitting;Water;Documentation;Counseling;Rebuild;Hazard Map;Trauma Support
Casey Shelton PhD,0014022897901x26870,tommymeza@gmail.com,"652 Williams Knolls, Gainesville, FL",29.649995,-82.32847,Other,1990-03-21,Waste Removal;Clean-up;Follow-up
Mr. Michael Neal,+19159981010,raymond46@jackson.net,"520 Smith Rue Suite 090, Gainesville, FL",29.664279,-82.343507,Other,1962-08-05,Remapping;Housing;Drills;Resource Sharing;Helpline
Kimberly Patel,+11113885060x8714,roberto20@hotmail.com,"116 Michelle Glens Suite 023, Gainesville, FL",29.628513,-82.393395,Other,1991-07-25,Supplies;Psych Support;Financial
Dylan Salazar,+12554330209x015,bhart@hubbard.com,"802 Rice Way Suite 093, Gainesville, FL",29.634028,-82.327139,Male,1958-01-23,Transport;Needs Assessment;Documentation;Crowd Control
Patricia Choi,+17452704174x417,johnsonjohnny@mendoza.com,"4664 Samantha Curve Suite 259, Gainesville, FL",29.658297,-82.38396,Other,1971-05-13,Contacts;Hazard Map;Financial Aid;Cash Aid;Food;Childcare
Jennifer Ross,+17888377533x546,laura19@hotmail.com,"097 William Bridge, Gainesville, FL",29.634646,-82.331438,Other,1963-08-03,Construction;Counseling;Food Packs
Gary Walton,(268)7272906x3624,qluna@martinez.com,"29931 Ball Circles Apt. 017, Gainesville, FL",29.674527,-82.390717,Female,1953-03-04,Waste Removal;Sanitation;Medical;Construction;Crowd Control
Melissa Johnson,0019436865293x099,vasquezamy@smith.net,"6315 Richard Squares, Gainesville, FL",29.679392,-82.321336,Male,1960-06-06,Trauma Support;Helpline;Damage Reports;Clearance;Evacuation;Recruitment
Michael Ellis,(841)5742839,fcombs@hotmail.com,"88207 Johnson Plaza, Gainesville, FL",29.655264,-82.345753,Female,1954-05-25,Mental Health;Medication;Shelter;Rescue;Language Help;Temporary Schools;Trauma Support
Matthew Hunter,783.589.6802x575,millerlaura@vaughn.com,"28153 Morgan Vista, Gainesville, FL",29.653501,-82.322108,Male,1990-05-16,Clearance;Childcare;Documentation;Legal;Hygiene
Nathan Montes,8488086855x609,bushjennifer@barajas.org,"250 Paul Mews Apt. 332, Gainesville, FL",29.621883,-82.331814,Female,1983-11-24,Clothing;Drills;Legal;Blood Donation;Temporary Shelter
Amy Mckinney,135.091.8884x738,leecatherine@hotmail.com,"986 Henderson Plain Apt. 394, Gainesville, FL",29.636395,-82.332701,Male,1985-09-16,Pet Care;Relief;Supplies;Medical Camps;First Aid;Recruitment
Tara Byrd,3125869010x46090,ngarza@davis.org,"3227 Black Manor Apt. 896, Gainesville, FL",29.674117,-82.334181,Male,1967-12-01,Transport;Debris Removal;Trauma Support;Communication;Needs Assessment;Temporary Shelter;Medical Camps
Jamie Navarro,7677926879x2256,pricedenise@hotmail.com,"490 Amanda Key Suite 832, Gainesville, FL",29.661265,-82.343473,Male,1992-12-29,Hazard Map;Recovery;Counseling;Transport;Legal;Collection
Justin Duffy,693.071.8237,hlopez@richardson-moore.com,"255 Hernandez Forest Apt. 428, Gainesville, FL",29.657051,-82.336865,Male,1966-01-03,Alerts;Sandbags;Awareness;Assessment
Jeremy Bryant,9767609291x553,scottwilson@hotmail.com,"8869 Ferguson Isle, Gainesville, FL",29.676719,-82.318082,Male,1981-03-18,Communication;Recruitment;Mental Health;Collection;First Aid
Brandon Holland,0010292639167x91221,yjackson@yahoo.com,"535 Cindy Garden, Gainesville, FL",29.679821,-82.384188,Male,1954-04-03,Debris Removal;Training;Clean-up;Blood Donation;Triage;Support
Suzanne Nolan,0019702263151x27386,juliamoore@gmail.com,"8965 Laura Square, Gainesville, FL",29.667841,-82.347857,Female,1984-07-19,Security;Hygiene;School;Sandbags;Trauma Support
Sara Mitchell,7083434687,christine90@dalton.com,"95091 Christine Shore Suite 600, Gainesville, FL",29.656704,-82.316692,Male,1951-06-08,Alerts;Shelter;Rescue;Waste Removal
John Evans,(835)0026014,flemingkimberly@johnson.com,"9348 Davis Curve, Gainesville, FL",29.623288,-82.302065,Male,1986-08-17,Crowd Control;Damage Reports;Debris Removal;Medication
Larry Coleman,146.535.2722x7826,victoria40@yahoo.com,"323 Becky Neck Apt. 953, Gainesville, FL",29.658225,-82.362428,Male,1951-05-11,Food Packs;Lost & Found;Emergency Kits;Clearance;Blood Donation
Joshua Velasquez,0017102013012x991,adam18@shelton-gardner.com,"779 Joseph Fords, Gainesville, FL",29.623167,-82.36422,Other,1952-05-17,Equipment;Clothing;Legal;Construction;Debris Removal
Ryan Thompson,8601218188,sjohnson@sanchez.com,"6467 Mary Turnpike, Gainesville, FL",29.662282,-82.372449,Female,1964-04-13,Coordination;Pet Care;Collection
William Keller,0013278915830,dreynolds@mcmillan-mejia.org,"2717 Christopher Square Suite 191, Gainesville, FL",29.627351,-82.321499,Other,1956-01-13,Information;Follow-up;Trauma Support;Awareness;Pet Care;Collection;Toolkits
Brandon Young,789.021.6590x45062,mjohnson@benson.net,"18113 Christopher Tunnel, Gainesville, FL",29.626005,-82.32096,Male,1974-12-25,Life Skills;Lost & Found;Information;Pet Care;Coordination;Hazard Map;Psych Support
Allison Herrera,9713029916x613,iraymond@brown.com,"395 Wade Street, Gainesville, FL",29.630661,-82.366239,Female,1949-01-16,Evacuation;Awareness;Recruitment;Needs Assessment;Damage Reports;Drills
Daniel Jones,0010614361281x47130,patrickwarren@barber.biz,"655 Fisher Street, Gainesville, FL",29.655748,-82.312771,Other,1949-03-06,Toolkits;Rebuild;Psych Support;Emergency Kits;Alerts;Clean-up;Damage Reports
Christopher Roberts,0015713891089,townsendmeagan@gmail.com,"049 Kari Run, Gainesville, FL",29.620999,-82.398208,Male,1986-11-16,Insurance;Training;Drills;Equipment;Clearance;Needs Assessment;Relief
Theresa Abbott,(192)6095425,oyoung@sanchez-williams.com,"24919 Mills Neck Apt. 896, Gainesville, FL",29.644558,-82.322568,Male,1994-05-03,Power Supply;Childcare;Recruitment;Life Skills;Relief;Mental Health
John Todd,+19409420705x610,youngjohn@henderson.org,"051 Velez Cliffs, Gainesville, FL",29.675917,-82.3488,Other,1982-04-25,Temporary Shelter;Resource Sharing;Documentation;School
Donna Lewis,(666)8714155,mcguirecatherine@hotmail.com,"3992 Lester Fields Suite 349, Gainesville, FL",29.64182,-82.342071,Female,1958-03-01,Supplies;Food;School;Equipment;Toolkits
Robert Johnston,5831279716x317,kimberly40@yahoo.com,"39168 Hall Fort Apt. 222, Gainesville, FL",29.649727,-82.345784,Male,1989-09-30,Transport;Rebuild;Recovery
William Travis,7591654627,cortezjulie@hotmail.com,"25523 Ramirez Circles Suite 256, Gainesville, FL",29.636263,-82.35618,Female,1956-04-03,Remapping;Counseling;Food;Relief;School;Rescue
Sheryl Carr,+12726561938x812,calebharris@yahoo.com,"2536 Tamara Spring, Gainesville, FL",29.674909,-82.38251,Female,1949-12-19,Information;Job Aid;Coordination;Crowd Control
Michelle Harrison,2356404963,brooke11@love.org,"71812 James Green Apt. 480, Gainesville, FL",29.66317,-82.301762,Other,1977-05-08,Collection;Legal;Emergency Kits;Trauma Support;Training;Supplies;Information
James Dean,+13305128946x31902,christine86@gmail.com,"7393 Ramirez Via Suite 016, Gainesville, FL",29.653058,-82.310299,Female,1973-01-13,Medical Camps;Rebuild;Sandbags
Steve Silva,0016355101651x217,olivia52@hotmail.com,"827 Carly Extension Suite 769, Gainesville, FL",29.659367,-82.340323,Male,1979-06-05,Food Packs;Shelter;Cash Aid;Alerts;Childcare
Blake Dickson,(025)8787200x426,yorkjessica@valentine-reed.info,"671 Donald Pass Suite 370, Gainesville, FL",29.640392,-82.351669,Male,1999-07-07,Triage;Psych Support;Life Skills;Translation;Communication;Construction
Julie Bryant,+14919315576x553,johnstonlaura@yahoo.com,"74645 Raymond Views, Gainesville, FL",29.668851,-82.339499,Male,1982-10-23,Drills;Childcare;Transport;Sanitation;Crowd Control;Financial
Steve Martinez,(046)6178219x4517,christinaarnold@davis.info,"70283 Margaret Summit, Gainesville, FL",29.678225,-82.353332,Male,1984-07-14,Medical;Financial;Relocation;Life Skills;Contacts;Childcare;Insurance
Kelly Ford,+17469786863x7000,chrishill@hodges.com,"593 Rodriguez Islands Apt. 588, Gainesville, FL",29.641598,-82.310905,Other,1975-05-04,Water;Hazard Map;Food
Kimberly Foster,4363631338,thomaskatherine@cox.info,"59039 Megan Meadows Apt. 901, Gainesville, FL",29.648934,-82.341165,Male,1961-11-15,Sanitation;Hazard Map;Alerts;Shelter
Catherine Blackburn,3107574547,bjohnson@walls.net,"5556 Gary Field, Gainesville, FL",29.667068,-82.370837,Other,1957-09-09,Babysitting;Financial;Hygiene;Mental Health;Rebuild
Lawrence Martinez,360.215.9315,mitchelljamie@hotmail.com,"7842 William Heights, Gainesville, FL",29.625177,-82.322635,Other,1998-02-22,Follow-up;Collection;Medical;Trauma Support
Kenneth Mcguire,2287515840,galvanerica@gmail.com,"1826 Francis Circles, Gainesville, FL",29.635346,-82.356473,Other,1985-07-05,Clean-up;Temporary Schools;Housing
Martha Hooper,(479)1069255x139,smithcindy@yahoo.com,"05771 Deborah Squares, Gainesville, FL",29.620236,-82.324048,Other,1983-05-20,Support;Triage;Financial
Vanessa Nguyen,024.640.7725x5000,juliehurst@wagner.net,"8366 Russell Street, Gainesville, FL",29.632655,-82.348749,Female,1966-02-13,Legal;Debris Removal;Shelter;Emergency Kits
Dr. John Fox,(427)3929480x6606,kimberly55@hotmail.com,"25438 Gray Rapids, Gainesville, FL",29.652342,-82.330709,Male,1973-01-25,Training;Trauma Support;Remapping
Deanna Moreno MD,+17459809410x891,lwarren@yahoo.com,"158 Samuel Manor, Gainesville, FL",29.63165,-82.317371,Other,1982-07-07,Transport;Mental Health;Food
Eric Padilla,564.518.2410x784,raymondroy@hall.org,"527 Clarke Ramp Apt. 742, Gainesville, FL",29.64682,-82.321766,Male,1961-12-29,Trauma Support;Drills;Information;Lost & Found;Sandbags;Communication
